HomeTeam,TOTAL_FTHG,TOTAL_HS,TOTAL_HST,MONTHINSEASON
"Man United",2,31,11,August
Bournemouth,4,29,9,August
Fulham,4,40,18,August
Huddersfield,0,11,2,August
Newcastle,2,21,4,August
Watford,4,32,10,August
Wolves,3,22,6,August
Arsenal,3,26,13,August
Liverpool,5,40,16,August
Southampton,1,29,8,August
Cardiff,0,12,1,August
Chelsea,3,24,11,August
Everton,2,13,7,August
Leicester,2,6,2,August
Tottenham,3,25,11,August
"West Ham",1,11,5,August
Brighton,3,6,3,August
Burnley,1,8,3,August
"Man City",6,32,14,August
"Crystal Palace",0,8,2,August
Brighton,3,23,9,September
Chelsea,7,52,17,September
"Crystal Palace",0,36,10,September
Everton,5,46,11,September
Leicester,4,30,13,September
"Man City",7,80,25,September
"West Ham",3,27,7,September
Burnley,4,21,7,September
Cardiff,3,35,10,September
Watford,3,21,8,September
Bournemouth,4,10,5,September
Huddersfield,0,24,7,September
Newcastle,1,10,3,September
Tottenham,1,11,3,September
Wolves,3,44,13,September
Southampton,2,14,5,September
Fulham,1,15,3,September
Liverpool,3,12,4,September
"Man United",1,15,6,September
Arsenal,4,18,7,September
Bournemouth,2,21,7,October
Brighton,2,11,5,October
Burnley,1,13,4,October
"Crystal Palace",2,27,7,October
Leicester,2,29,9,October
"Man United",5,32,20,October
Tottenham,1,23,8,October
Watford,3,26,8,October
Fulham,1,32,5,October
Liverpool,4,26,9,October
Southampton,0,37,10,October
Cardiff,4,22,5,October
Chelsea,2,21,6,October
Huddersfield,0,13,1,October
"Man City",5,24,10,October
Newcastle,0,27,6,October
"West Ham",0,13,4,October
Wolves,0,10,1,October
Everton,2,20,4,October
Arsenal,3,19,6,October
Arsenal,2,22,7,November
Bournemouth,2,29,12,November
Cardiff,4,48,11,November
Everton,4,30,11,November
Newcastle,3,28,8,November
"West Ham",4,31,11,November
Wolves,2,28,10,November
Chelsea,3,30,10,November
"Man City",9,35,13,November
Huddersfield,2,25,9,November
"Crystal Palace",0,11,4,November
Leicester,0,22,5,November
Southampton,1,14,4,November
Liverpool,2,20,7,November
Brighton,1,14,3,November
Fulham,3,10,5,November
"Man United",0,12,5,November
Tottenham,3,18,9,November
Watford,0,5,1,November
Burnley,1,14,4,November
"Crystal Palace",3,72,15,December
Huddersfield,2,38,12,December
Leicester,4,44,18,December
"Man City",8,48,16,December
Newcastle,1,37,8,December
Southampton,7,44,22,December
Arsenal,8,46,15,December
Chelsea,4,41,19,December
Liverpool,13,83,32,December
Bournemouth,4,28,7,December
Brighton,6,38,11,December
Watford,6,50,22,December
"West Ham",6,48,24,December
Burnley,5,52,19,December
Everton,5,41,11,December
Fulham,3,66,25,December
"Man United",13,57,36,December
Tottenham,10,48,21,December
Wolves,4,26,10,December
Cardiff,2,22,7,December
Arsenal,8,44,18,January
Cardiff,0,9,3,January
Everton,2,32,5,January
Bournemouth,9,47,23,January
Chelsea,2,27,12,January
Huddersfield,1,24,6,January
Newcastle,5,36,11,January
"West Ham",3,24,9,January
Wolves,7,41,17,January
"Man City",5,33,13,January
Brighton,0,7,0,January
Burnley,2,11,0,January
"Crystal Palace",1,15,6,January
Leicester,1,23,6,January
Tottenham,2,38,14,January
Liverpool,5,29,12,January
"Man United",4,48,14,January
Southampton,3,24,8,January
Watford,0,9,4,January
Fulham,5,36,11,January
Brighton,1,37,10,February
Burnley,3,25,10,February
Cardiff,3,33,11,February
Chelsea,7,34,8,February
"Crystal Palace",4,59,13,February
Everton,1,17,5,February
Tottenham,4,33,9,February
Leicester,3,63,14,February
"Man City",10,54,28,February
"West Ham",4,34,9,February
Fulham,0,15,3,February
Huddersfield,2,30,9,February
Liverpool,8,39,19,February
Southampton,3,28,11,February
Watford,1,7,2,February
Wolves,1,22,6,February
Bournemouth,1,10,3,February
Newcastle,4,41,15,February
Arsenal,7,28,10,February
"Man United",0,6,3,February
Bournemouth,2,10,3,March
Brighton,1,27,5,March
Burnley,4,36,7,March
"Man United",5,24,11,March
Tottenham,1,10,3,March
"West Ham",6,29,10,March
Wolves,2,13,6,March
Everton,2,22,11,March
Fulham,2,24,7,March
Watford,2,6,5,March
Cardiff,3,24,10,March
"Crystal Palace",3,34,8,March
Huddersfield,0,8,1,March
Leicester,5,36,12,March
"Man City",3,19,9,March
Newcastle,3,19,7,March
Southampton,2,12,4,March
Arsenal,2,14,3,March
Chelsea,1,22,6,March
Liverpool,6,37,8,March
Arsenal,4,19,9,April
Watford,6,51,15,April
Wolves,5,42,10,April
Chelsea,7,55,20,April
"Man City",3,42,15,April
Tottenham,7,91,24,April
Southampton,7,46,14,April
Bournemouth,1,25,7,April
Huddersfield,2,23,7,April
Newcastle,3,33,11,April
Everton,5,38,14,April
Leicester,3,36,17,April
Brighton,1,31,5,April
Burnley,2,16,7,April
Fulham,3,20,7,April
"Man United",3,33,10,April
"Crystal Palace",1,15,3,April
Liverpool,7,36,14,April
"West Ham",2,11,3,April
Cardiff,0,7,2,April
Everton,2,20,6,May
Bournemouth,1,20,6,May
Cardiff,2,18,8,May
Newcastle,2,14,7,May
"West Ham",3,17,6,May
Wolves,1,19,6,May
Arsenal,1,20,8,May
Chelsea,3,19,9,May
Huddersfield,1,7,3,May
"Man City",1,19,5,May
Brighton,1,6,2,May
Burnley,1,14,5,May
"Crystal Palace",5,17,8,May
Fulham,0,16,2,May
Leicester,0,9,3,May
Liverpool,2,13,5,May
"Man United",0,26,10,May
Southampton,1,10,3,May
Tottenham,2,11,3,May
Watford,1,17,8,May
